# Generated from PortsMaster/PortMaster-New runtimes/runtimes.json and directory tree.
# Source commit: 0d9880ec45269e5dd6df11e5949f07005d5108d8
# canonical runtime<TAB>device architecture<TAB>ordered source file(s)<TAB>expected total bytes
dotnet-8.0.12	aarch64	dotnet-8.0.12.aarch64.squashfs	29970432
gmtoolkit	aarch64	gmtoolkit.aarch64.squashfs.part.001,gmtoolkit.aarch64.squashfs.part.002,gmtoolkit.aarch64.squashfs.part.003	120782848
frt_2.1.6	aarch64	frt_2.1.6.aarch64.squashfs	7180288
frt_2.1.6	armhf	frt_2.1.6.armhf.squashfs	7368704
frt_3.0.6_v1	aarch64	frt_3.0.6_v1.aarch64.squashfs	8728576
frt_3.1.2	aarch64	frt_3.1.2.aarch64.squashfs	10158080
frt_3.1.2	armhf	frt_3.1.2.armhf.squashfs	10199040
frt_3.1.2	x86_64	frt_3.1.2.x86_64.squashfs	12230656
frt_3.2.3	aarch64	frt_3.2.3.aarch64.squashfs	10952704
frt_3.2.3	armhf	frt_3.2.3.armhf.squashfs	10956800
frt_3.2.3	x86_64	frt_3.2.3.x86_64.squashfs	12701696
frt_3.3.4	aarch64	frt_3.3.4.aarch64.squashfs	11149312
frt_3.3.4	armhf	frt_3.3.4.armhf.squashfs	11202560
frt_3.3.4	x86_64	frt_3.3.4.x86_64.squashfs	12992512
frt_3.4.5	aarch64	frt_3.4.5.aarch64.squashfs	11677696
frt_3.4.5	armhf	frt_3.4.5.armhf.squashfs	11714560
frt_3.4.5	x86_64	frt_3.4.5.x86_64.squashfs	13557760
frt_3.5.2	aarch64	frt_3.5.2.aarch64.squashfs	12775424
frt_3.5.2	armhf	frt_3.5.2.armhf.squashfs	12808192
frt_3.5.2	x86_64	frt_3.5.2.x86_64.squashfs	14774272
frt_3.5.3	aarch64	frt_3.5.3.aarch64.squashfs	12775424
frt_3.5.3	armhf	frt_3.5.3.armhf.squashfs	12804096
frt_3.5.3	x86_64	frt_3.5.3.x86_64.squashfs	14770176
frt_3.6	aarch64	frt_3.6.aarch64.squashfs	12324864
frt_3.6	armhf	frt_3.6.armhf.squashfs	11419648
frt_4.0.4	aarch64	frt_4.0.4.aarch64.squashfs	22716416
frt_4.1.3	aarch64	frt_4.1.3.aarch64.squashfs	23461888
godot_4.2.2	aarch64	godot_4.2.2.aarch64.squashfs	22069248
godot_4.2.2	armhf	godot_4.2.2.armhf.squashfs	20279296
godot_4.2.2	x86_64	godot_4.2.2.x86_64.squashfs	22958080
godot_4.2.2.mono	aarch64	godot_4.2.2.mono.aarch64.squashfs	22147072
godot_4.2.2.mono	armhf	godot_4.2.2.mono.armhf.squashfs	20328448
godot_4.2.2.mono	x86_64	godot_4.2.2.mono.x86_64.squashfs	23023616
godot_4.3	aarch64	godot_4.3.aarch64.squashfs	23515136
godot_4.3	armhf	godot_4.3.armhf.squashfs	22011904
godot_4.3	x86_64	godot_4.3.x86_64.squashfs	24436736
godot_4.3.mono	aarch64	godot_4.3.mono.aarch64.squashfs	23605248
godot_4.3.mono	armhf	godot_4.3.mono.armhf.squashfs	19308544
